method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.02592376112937927,20.467928654603938,20,4,True,42
ABC-Vanilla,2154.4346900318833,0.055851050273234816,12.94741805487723,20,4,True,42
ABC-Vanilla,4641.588833612778,0.12032744018337181,11.928751046073524,20,4,True,42
ABC-Vanilla,10000.0,0.25923761129379275,11.21535023192512,20,4,True,42
ABC-Vanilla,21544.346900318837,0.5585105027323483,10.645422218003468,20,4,True,42
ABC-Vanilla,46415.88833612777,1.2032744018337178,10.155106706654166,20,4,True,42
ABC-Vanilla,100000.0,2.5923761129379272,9.72797102213457,20,4,True,42
ABC-Vanilla,215443.4690031882,5.585105027323478,9.344224826083508,20,4,True,42
ABC-Vanilla,464158.8833612778,12.032744018337182,8.991631970587722,20,4,True,42
ABC-Vanilla,1000000.0,25.923761129379272,8.654944448778748,20,4,True,42
permABC-Vanilla,1000.0,0.029630725145339966,13.159260117351874,20,4,True,42
permABC-Vanilla,2154.4346900318833,0.06383746214392044,6.303851688854948,20,4,True,42
permABC-Vanilla,4641.588833612778,0.13753364296645937,5.430043846757594,20,4,True,42
permABC-Vanilla,10000.0,0.29630725145339964,4.842669024525546,20,4,True,42
permABC-Vanilla,21544.346900318837,0.6383746214392045,4.386542181486012,20,4,True,42
permABC-Vanilla,46415.88833612777,1.3753364296645931,4.014662681942029,20,4,True,42
permABC-Vanilla,100000.0,2.9630725145339967,3.6993046451959177,20,4,True,42
permABC-Vanilla,215443.4690031882,6.3837462143920405,3.4250231857252835,20,4,True,42
permABC-Vanilla,464158.8833612778,13.753364296645936,3.182250813410532,20,4,True,42
permABC-Vanilla,1000000.0,29.630725145339966,2.9525710570625416,20,4,True,42
ABC-SMC,950.0,0.12029500007629396,15.403134999556151,20,4,True,42
ABC-SMC,573732.5581395349,53.66928667523141,10.066478122011704,20,4,True,42
ABC-SMC,596929.0540540541,34.85396862835497,9.784373911921264,20,4,True,42
ABC-SMC,746452.4495677234,30.891800682551583,9.784373911921264,20,4,True,42
ABC-SMC,885173.0279898219,28.397940103030994,9.784373911921264,20,4,True,42
ABC-SMC,1053696.6292134833,27.86111330718137,9.653753513425249,20,4,True,42
ABC-SMC,1627078.7401574804,42.147704309678765,9.018755284604204,20,4,True,42
ABC-SMC,1497951.219512195,33.824912803929024,9.018755284604204,20,4,True,42
ABC-SMC,1608039.1061452515,32.158736543282444,9.018755284604204,20,4,True,42
ABC-SMC,2494992.518703242,44.81053450458365,9.018755284604204,20,4,True,42
ABC-PMC,24163.636363636364,6.229015480388294,15.580413868336857,20,4,True,42
ABC-PMC,69937.98449612403,28.079297376233477,13.95693108681931,20,4,True,42
ABC-PMC,210765.76576576577,88.83290247874217,13.122978180766168,20,4,True,42
ABC-PMC,386646.25850340136,163.58241524015153,11.698768568459021,20,4,True,42
ABC-PMC,1012049.0196078431,416.40503920760807,10.438331975149001,20,4,True,42
ABC-PMC,968971.2643678163,378.67910896224544,8.949564877193374,20,4,True,42
ABC-PMC,1506793.2960893854,528.4185612667873,7.6731331865836685,20,4,True,42
ABC-PMC,2203191.5887850467,651.4700517476161,6.249814937554813,20,4,True,42
ABC-PMC,3228131.455399061,835.4822872949877,5.578933296767845,20,4,True,42
ABC-PMC,4636562.737642585,991.1873948438085,4.316872236622989,20,4,True,42
permABC-SMC,950.0,0.17648040056228637,8.753533805922029,20,4,True,42
permABC-SMC,102558.54800936769,12.149410937374036,3.981585095002493,20,4,True,42
permABC-SMC,215068.8836104513,26.962224661312874,2.3943573210966846,20,4,True,42
permABC-SMC,417184.6381093057,61.100591373584464,1.4592163730360281,20,4,True,42
permABC-SMC,1135330.4347826089,212.2872479065605,0.9006639034588702,20,4,True,42
permABC-SMC,1601431.25,333.0733325332403,0.6485833178588281,20,4,True,42
permABC-SMC,1122949.090909091,200.57650037245318,0.6339258093831157,20,4,True,42
permABC-SMC,2310731.861198738,364.1816176450591,0.6048955436789664,20,4,True,42
permABC-SMC,2170000.0,332.8370590753193,0.5383515172418912,20,4,True,42
permABC-SMC,2877218.390804598,396.910012076641,0.5129739456367628,20,4,True,42
permABC-SMC-OS,13791.3741223671,2.963432541103994,6.49262379436924,20,4,True,42
permABC-SMC-OS,22910.372608257807,1.8806639994979504,5.575149820665568,20,4,True,42
permABC-SMC-OS,61274.014155712845,4.499896616496982,3.30121874954474,20,4,True,42
permABC-SMC-OS,86405.29531568228,3.0078379903937065,2.6259925772149693,20,4,True,42
permABC-SMC-OS,122170.30114226378,6.433802799767548,2.022212907363924,20,4,True,42
permABC-SMC-OS,187169.60352422908,4.824670650360343,1.381727180114212,20,4,True,42
permABC-SMC-OS,252200.90293453724,7.363886973120558,1.0559294823895038,20,4,True,42
permABC-SMC-OS,330000.00000000006,8.438475491052653,0.8397551656806134,20,4,True,42
permABC-SMC-UM,42799.12663755459,5.0934814469783065,0.8285852042300471,20,4,True,42
permABC-SMC-UM,37486.03351955308,4.147883766856274,2.122104721065842,20,4,True,42
permABC-SMC-UM,23837.5,2.877733359734217,2.9348851285922826,20,4,True,42
permABC-SMC-UM,21044.444444444445,2.4521092838711205,3.9384979689411823,20,4,True,42
permABC-SMC-UM,11207.715133531157,1.3555290790976686,4.961170497603864,20,4,True,42
permABC-SMC-UM,4850.267379679145,0.1577173749818309,6.026634117767027,20,4,True,42
permABC-SMC-UM,2320.185614849188,0.054015250327692235,7.326694522165788,20,4,True,42
permABC-SMC-UM,2063.983488132095,0.044064452896669305,8.671262035035522,20,4,True,42
