method,scale,n_iterations,total_n_sim,time_final,final_epsilon
permABC-SMC,national,11,199,0.45195889472961426,2.0508482456207275
ABC-SMC,national,24,399,0.09839391708374023,0.5322222113609314
ABC-SMC (Gibbs 3b),national,4,79,0.15970420837402344,0.5991269946098328
permABC-SMC (Gibbs 3b),national,11,184,0.11778545379638672,0.47238093614578247
permABC-SMC-OS,national,7,426,0.027308940887451172,2.0508482456207275
permABC-SMC-UM,national,3,60,0.009994268417358398,2.0508482456207275
permABC-SMC,regional,5,582,0.0204620361328125,4.883828163146973
ABC-SMC,regional,10,1032,0.043343305587768555,0.5454200506210327
ABC-SMC (Gibbs 3b),regional,5,582,0.049035072326660156,0.6106725931167603
permABC-SMC (Gibbs 3b),regional,4,474,0.04051852226257324,4.946285247802734
permABC-SMC-OS,regional,8,1380,0.06317591667175293,4.883828163146973
permABC-SMC-UM,regional,7,840,0.04679393768310547,4.883828163146973
permABC-SMC,provincial,4,4977,0.2878735065460205,13.230644226074219
ABC-SMC,provincial,4,4977,0.021340131759643555,0.6756349205970764
ABC-SMC (Gibbs 3b),provincial,4,4977,0.04348039627075195,0.6898412704467773
permABC-SMC (Gibbs 3b),provincial,4,4977,0.2974402904510498,12.991639137268066
permABC-SMC-UM,provincial,52,65079,14.145758152008057,13.230644226074219
